author,tags,title,url
Annette Joseph-Gabriel,"Women's Rights,Democratic Republic of the Congo,Colonialism,Racism,Africa",Remembering the Congolese women who fought for independence,https://www.aljazeera.com/amp/indepth/opinion/remembering-congolese-women-fought-independence-200630091359924.html
"Sarah C Anderson-Rajarigam,Sunita Viswanath","India,United States,Islamophobia,Narendra Modi,Asia",Modi's India should be on the US's religious freedom blacklist,https://www.aljazeera.com/amp/indepth/opinion/modi-india-religious-freedom-blacklist-200622112650219.html
Larry Beinhart,"George Floyd protests,Racism,United States,slavery",The US has reached a tipping point,https://www.aljazeera.com/amp/indepth/opinion/reached-tipping-point-200624154953995.html
Yoav Litvin,"Middle East,US & Canada,Black Lives Matter protests,Palestine,Boycott",Black Lives Matter and lessons from Palestine,https://www.aljazeera.com/amp/indepth/opinion/black-lives-matter-lessons-palestine-200621152130884.html
Marc Batac,"Philippines,Human Rights,Rodrigo Duterte,Asia Pacific",The Philippines' anti-terror bill is poised to cause more terror,https://www.aljazeera.com/amp/indepth/opinion/philippines-anti-terror-bill-poised-terror-200623145405529.html
Michael Fakhri,"Food,Coronavirus pandemic,United Nations",Will the CFS prevent the pending COVID-19 hunger crisis?,https://www.aljazeera.com/amp/indepth/opinion/csf-prevent-pending-covid-19-hunger-crisis-200624105120531.html
Sarah Nugdalla,"Black Lives Matter protests,Women's Rights,LGBTQ,United States",Burning the cape,https://www.aljazeera.com/amp/indepth/opinion/burning-cape-200623101343651.html
Andrew Mitrovica,"Hillary Clinton,United States,Donald Trump,US & Canada",Hillary Clinton was right,https://www.aljazeera.com/amp/indepth/opinion/hillary-clinton-200622145223784.html
Josefina Vidal Ferreiro,"Cuba,Coronavirus pandemic,United States,Latin America",Cuba's two pandemics: The coronavirus and the US embargo,https://www.aljazeera.com/amp/indepth/opinion/cuba-pandemics-coronavirus-embargo-200610120322400.html
Thabi Myeni,"Racism,George Floyd protests,South Africa",Black Lives Matter and the trap of performative activism,https://www.aljazeera.com/amp/indepth/opinion/black-lives-matter-trap-performative-activism-200619101229767.html
Tafi Mhaka,"Boris Johnson,Colonialism,United Kingdom,Racism,George Floyd protests",The problem with Boris Johnson's British morality,https://www.aljazeera.com/amp/indepth/opinion/problem-boris-johnson-british-morality-200619080315659.html
Anuradha Bhasin,"India,Kashmir,Asia",Bringing the Israeli model to Kashmir,https://www.aljazeera.com/amp/indepth/opinion/bringing-israeli-model-kashmir-200614173626456.html
Kristian Coates Ulrichsen,"Saudi Arabia,Qatar,United Arab Emirates,GCC,Middle East",What does the WTO ruling mean for Qatar-Saudi relations?,https://www.aljazeera.com/amp/indepth/opinion/wto-ruling-qatar-saudi-relations-200617133953547.html
Edna Bonhomme,"US & Canada,Europe,Black Lives Matter protests,United States","George Floyd, a survivor's guilt and a global Black Lives Matter ",https://www.aljazeera.com/amp/indepth/opinion/george-floyd-survivor-guilt-global-black-lives-matter-200620181544441.html
Denijal Jegic,"Racism,Germany,Colonialism,Europe,Africa",Colonial discourses are stifling free speech in Germany,https://www.aljazeera.com/amp/indepth/opinion/colonial-discourses-stifling-free-speech-germany-200615143930756.html
Olamide Samuel,"Nuclear weapons,United States,Russia,China",The unintended consequences of Trump's nuclear gambit,https://www.aljazeera.com/amp/indepth/opinion/unintended-consequences-trump-nuclear-gambit-200618110654782.html
Ilyasah Shabazz,"Black Lives Matter protests,Racism,US & Canada",A message to Black Lives Matter protesters: Organise,https://www.aljazeera.com/amp/indepth/opinion/message-black-lives-matter-protesters-organise-200618141259865.html
Roman Dobrokhotov,"Russia,Vladimir Putin,Europe",Putin's rating is collapsing as anger grows in Russia,https://www.aljazeera.com/amp/indepth/opinion/putin-facing-growing-anger-russia-200616190716489.html
Koketso Moeti,"Coronavirus pandemic,South Africa,Africa",Public health is more than a matter of individual choice,https://www.aljazeera.com/amp/indepth/opinion/public-health-matter-individual-choice-200610071632895.html
Haider A Khan,"United States,Saudi Arabia,Russia,China,US & Canada",The oil and coronavirus crises may hasten US geopolitical decline,https://www.aljazeera.com/amp/indepth/opinion/oil-coronavirus-pandemic-complexities-geopolitics-200610084759897.html
Omid Safi,"Arts & Culture,Religion,Islam",Fake Hafez: How a supreme Persian poet of love was erased,https://www.aljazeera.com/amp/indepth/opinion/fake-hafez-supreme-persian-poet-love-erased-200601073431603.html
Antonio Vitorino,"Immigration,Coronavirus pandemic"," Without safe migration, economic recovery will be limited ",https://www.aljazeera.com/amp/indepth/opinion/safe-migration-economic-recovery-limited-200610100828604.html
"Alnoor Ladha ,Felipe Viveros","Indigenous rights,Brazil,Coronavirus pandemic,Jair Bolsonaro,Environment",Indigenous peoples guard 'the lungs of the planet' for all of us,https://www.aljazeera.com/amp/indepth/opinion/indigenous-peoples-guard-lungs-planet-200610111532981.html
Amali Tower,"United States,Racism,George Floyd protests,Black Lives Matter protests,US & Canada","If Black Americans were to seek asylum, they could qualify",https://www.aljazeera.com/amp/indepth/opinion/black-americans-seek-asylum-easily-qualify-200614094252933.html
Hamid Dabashi,Coronavirus pandemic,What can Avicenna teach us in time of Coronavirus?,https://www.aljazeera.com/amp/indepth/opinion/avicenna-teach-time-coronavirus-200615191605713.html
Ihab Maharmeh,"Middle East,Palestine,Israel",The coronavirus pandemic and PA's failed disengagement strategy,https://www.aljazeera.com/amp/indepth/opinion/coronavirus-pandemic-pa-failed-disengagement-strategy-200526164953378.html
Jonathan Kuttab,"Canada,United Nations, Israeli–Palestinian conflict,Palestine,US & Canada",Canada does not deserve a seat at the UN Security Council,https://www.aljazeera.com/amp/indepth/opinion/canada-deserve-seat-security-council-200616080944071.html
Mel Underbakke,"US & Canada,United States",When a long sentence becomes a death sentence,https://www.aljazeera.com/amp/indepth/opinion/long-sentence-death-sentence-200616132227976.html
Marwan Bishara,"US & Canada,United States,Donald Trump",Trump Almighty needs a miracle,https://www.aljazeera.com/amp/indepth/opinion/trump-almighty-miracle-200609140352324.html
Kholood Khair,"Sudan,Coronavirus pandemic",How 'nafeer' can help Sudan out of its coronavirus crisis,https://www.aljazeera.com/amp/indepth/opinion/nafeer-sudan-coronavirus-crisis-200601135252128.html
David A Love,"George Floyd protests,United States,US & Canada,Racism",Violent protest reflects the violence of the system,https://www.aljazeera.com/amp/indepth/opinion/violent-protest-reflects-violence-system-200607184935171.html
Lina Benabdallah,"Racism,Colonialism,Europe,Africa",On Tocqueville in Algeria and epistemic violence,https://www.aljazeera.com/amp/indepth/opinion/tocqueville-algeria-epistemic-violence-200706122518091.html
Rokhaya Diallo,"France,Racism,George Floyd protests,Europe",France is still in denial about racism and police brutality,https://www.aljazeera.com/amp/indepth/opinion/france-denial-racism-police-brutality-200609133104476.html
Ammar Ali Jan,"US & Canada,Asia,Colonialism,United States,George Floyd protests",The US protests and the echoes of imperial violence,https://www.aljazeera.com/amp/indepth/opinion/protests-echoes-imperial-violence-200609170123483.html
Anthony Pahnke,"Joe Biden,Democratic Party,George Floyd protests,Business & Economy,United States","Biden should embrace transformative policies, not fear them",https://www.aljazeera.com/amp/indepth/opinion/biden-embrace-transformative-policies-fear-200608070417408.html
Mohsin Dawar,"Human Rights,Pakistan,Pakistan Taliban,Asia",Pashtuns' struggle for rights cannot be silenced through violence,https://www.aljazeera.com/amp/indepth/opinion/pashtuns-struggle-rights-silenced-violence-200608110038438.html
Todd Baer,"George Floyd protests,United States,Racism",The Minneapolis police department has a long history of brutality,https://www.aljazeera.com/amp/indepth/opinion/minneapolis-police-department-long-history-brutality-200609133611311.html
Sahar Aziz  ,"Donald Trump,The Far Right,United States",A domestic terror law could quash political dissent in the US,https://www.aljazeera.com/amp/indepth/opinion/trump-call-label-antifa-domestic-terrorists-dangerous-200611134333479.html
Mark Muhannad Ayyash ,"Middle East,Israel,Palestine","Israel is a settler colony, annexing native land is what it does",https://www.aljazeera.com/amp/indepth/opinion/israel-settler-colony-annexing-native-land-200706130812834.html
Marwan Bishara,"US & Canada,Donald Trump,United States",Why Trump is right and wrong about America,https://www.aljazeera.com/amp/indepth/opinion/trump-wrong-america-200707092031617.html
Andrew Mitrovica,"George Floyd protests,United States,US & Canada,Iraq","Donald Rumsfeld, the US protests and the neoliberal hypocrites",https://www.aljazeera.com/amp/indepth/opinion/donald-rumsfeld-protests-neoliberal-hypocrites-200608090816597.html
Haidar Eid,"Middle East,Palestine,Israel",Edward Said's spectre and the end of Oslo,https://www.aljazeera.com/amp/indepth/opinion/edward-spectre-oslo-200603135154889.html
Zama Neff,"Education,Coronavirus pandemic,Refugees","When schools reopen, many children will be missing",https://www.aljazeera.com/amp/indepth/opinion/schools-reopen-children-missing-200608122920732.html
Bisi Adjapon,"Arts & Culture,Black Lives Matter protests,Racism,Ghana,Literature",Racists cannot silence us,https://www.aljazeera.com/amp/indepth/opinion/racists-silence-200701114612735.html
"Maryhen Jimenez Morales ,Laura Gamboa","Venezuela,Juan Guaido ,Nicolas Maduro,Democracy",Invasions and coup attempts will not bring democracy to Venezuela,https://www.aljazeera.com/amp/indepth/opinion/invasions-coup-attempts-bring-democracy-venezuela-200602124200624.html
Patrick Gathara,"Coronavirus pandemic,Media,United States,Africa,US & Canada",Should images of coronavirus victims be sanitised?,https://www.aljazeera.com/amp/indepth/opinion/images-coronavirus-victims-sanitised-200606150913483.html
Yannick Giovanni Marshall,"George Floyd protests,United States,US & Canada",The racists' peace,https://www.aljazeera.com/amp/indepth/opinion/racists-peace-200607085302328.html
Ulises Ali Mejias,"Social media,United States,Donald Trump,US & Canada",Trump is not doing anything to stop weaponisation of social media,https://www.aljazeera.com/amp/indepth/opinion/trump-stop-weaponisation-social-media-200606123825875.html
Steve Striffler,"Ecuador,Latin America,Democracy,Corruption",Correa's trial is an attack on Ecuador's democracy,https://www.aljazeera.com/amp/indepth/opinion/correa-trial-attack-ecuador-democracy-200522110208219.html
John Metta,"United States,Racism,Police,Civil Rights,Human Rights","Dear Amy Cooper, it is not your fault",https://www.aljazeera.com/amp/indepth/opinion/dear-amy-cooper-fault-200602113547575.html
Andrew Anderson,"China,Hong Kong,Hong Kong protests",What the new Chinese security law means for Hong Kong,https://www.aljazeera.com/amp/indepth/opinion/chinese-security-law-means-hong-kong-200601203648776.html
Richard Silverstein ,"Joe Biden,Israel,United States, Israeli–Palestinian conflict,Middle East",A Biden presidency would not be good news for Palestine,https://www.aljazeera.com/amp/indepth/opinion/biden-presidency-good-news-palestine-200602085815765.html
Massimo Di Ricco ,"Italy,Islamophobia,Africa,Europe",How a kidnapped aid worker who converted to Islam shook Italy,https://www.aljazeera.com/amp/indepth/opinion/silvia-romano-islamophobia-white-saviour-complex-200528102833625.html
Nicola Palmer,"Rwanda,Genocide,Tanzania,Netherlands,France",Who should try Rwandan genocide suspect Felicien Kabuga?,https://www.aljazeera.com/amp/indepth/opinion/rwandan-genocide-suspect-felicien-kabuga-200601120040366.html
Asad Dandia,"United States,Privacy & Surveillance,Islamophobia,US & Canada",Joe Biden's Muslim state of exception,https://www.aljazeera.com/amp/indepth/opinion/joe-biden-muslim-state-exception-200529083141328.html
Khalid Fahad Al-Khater,"Qatar,Middle East",Why the Qatar blockade matters,https://www.aljazeera.com/amp/indepth/opinion/qatar-blockade-matters-200605133609013.html
Rami G Khouri,"United States,George Floyd protests,Arab Spring,Middle East, Israeli–Palestinian conflict",Towards a global intifada,https://www.aljazeera.com/amp/indepth/opinion/global-intifada-200605105438548.html
Keston K Perry,"Environment,Climate Change,Global Warming,Coronavirus pandemic",The 'green' new deal should not be a new imperial masterplan,https://www.aljazeera.com/amp/indepth/opinion/green-deal-imperial-masterplan-200603124538265.html
Yuval Noah Harari,"Science & Technology,Human Rights,Health,Coronavirus pandemic",Surveillance is getting under our skin - and that should alarm us,https://www.aljazeera.com/amp/indepth/opinion/surveillance-skin-alarm-200527135135268.html
Michael Kugelman,"Afghanistan,Taliban,United States,Asia",How the US and Afghanistan can jump-start talks with the Taliban,https://www.aljazeera.com/amp/indepth/opinion/afghanistan-jump-start-talks-taliban-200530093500463.html
Innocent Chizaram Ilo,"Nigeria,Conflict,Civil war,Human Rights,Africa",Remembering my father's Biafra: The politics of erasing history,https://www.aljazeera.com/amp/indepth/opinion/remembering-father-biafra-politics-erasing-history-200529083216558.html
Rima Kalush,"Coronavirus pandemic,Migrants,Middle East","In the Gulf, migrant workers bear the brunt of the pandemic",https://www.aljazeera.com/amp/indepth/opinion/gulf-migrant-workers-bear-brunt-pandemic-200529102238233.html
Mary Lawlor,"Coronavirus pandemic,Human Rights","Amid the coronavirus, human rights defenders need more protection",https://www.aljazeera.com/amp/indepth/opinion/coronavirus-human-rights-defenders-protection-200528114906737.html
Tafi Mhaka,"Africa,Racism,United States,US & Canada",America cannot lecture Africans on human rights,https://www.aljazeera.com/amp/indepth/opinion/america-lecture-africans-human-rights-200530163850162.html
Anna Jacobs,"United States,Donald Trump,Joe Biden",Trump is winning the political spin game,https://www.aljazeera.com/amp/indepth/opinion/trump-winning-political-spin-game-200518181025503.html
Marwan Bishara,"US & Canada,United States,Donald Trump",The mendacity of greatness in Trump's America,https://www.aljazeera.com/amp/indepth/opinion/mendacity-greatness-trump-america-200531165351370.html
Yannick Giovanni Marshall,"United States,US & Canada,Racism","Black liberal, your time is up",https://www.aljazeera.com/amp/indepth/opinion/black-liberal-time-george-floyd-200601155933648.html
Vito Laterza ,"Italy,Coronavirus pandemic,Europe",The rushed easing of lockdown measures could devastate Italy,https://www.aljazeera.com/amp/indepth/opinion/rushed-easing-lockdown-measures-devastate-italy-200526112110970.html
Laith Abu Zeyad,"Palestine,Coronavirus pandemic,Travel ban,Israel,Middle East","I am under a lockdown, but not because of the coronavirus",https://www.aljazeera.com/amp/indepth/opinion/lockdown-coronavirus-200522135724647.html
Christine Berry,"Business & Economy,United Kingdom,Coronavirus pandemic",The Isle of Eigg and the possibilities of building a new economy,https://www.aljazeera.com/amp/indepth/opinion/isle-eigg-possibilities-building-economy-200512134723182.html
Peter Thomson,"Oceans,Coronavirus pandemic,Environment",The road to a blue-green recovery,https://www.aljazeera.com/amp/indepth/opinion/road-blue-green-recovery-200528082435928.html
Fawzia Rasheed,"Coronavirus pandemic,Health,Africa,Asia","There are coronavirus solutions for resource-poor countries, too",https://www.aljazeera.com/amp/indepth/opinion/coronavirus-solutions-resource-poor-countries-200527111130582.html
"Donald Kaberuka,Federica Mogherini","Coronavirus pandemic,IDPs,United Nations",COVID-19 makes addressing internal displacement even more urgent,https://www.aljazeera.com/amp/indepth/opinion/covid-19-addressing-internal-displacement-urgent-200525080109674.html
Rick Rowden,"Coronavirus pandemic,IMF,Business & Economy",The US should stop blocking vital IMF funds for poorer countries,https://www.aljazeera.com/amp/indepth/opinion/imf-prevent-covid-19-economic-catastrophe-200521092602809.html
Marwan Bishara,"US & Canada,United States,Donald Trump",A tale of two Trumps,https://www.aljazeera.com/amp/indepth/opinion/tale-trumps-200525134531269.html
Aurelien Mondon,"United Kingdom,Europe",The Cummings scandal and political outrage as a diversion,https://www.aljazeera.com/amp/indepth/opinion/british-scandal-sleight-hand-story-200524115826695.html
Sindre Bangstad,"Norway,The Far Right,Europe",The 2019 mosque attack and freedom of speech in Norway,https://www.aljazeera.com/amp/indepth/opinion/norway-manshaus-case-freedom-speech-200525102742004.html
Khaled Diab ,"Poverty & Development,Europe,US & Canada,Inequality,Tax Avoidance",Do billionaires 'deserve' their wealth?,https://www.aljazeera.com/amp/indepth/opinion/deserves-billionaire-200524115936784.html
Omar Suleiman,"Islamophobia,Coronavirus pandemic,Sri Lanka,India,Asia","Like India, Sri Lanka is using coronavirus to stigmatise Muslims",https://www.aljazeera.com/amp/indepth/opinion/india-sri-lanka-coronavirus-stigmatise-muslims-200519134939934.html
Michael Kwet,"Privacy & Surveillance,Social media,Science & Technology","To fix social media, we need to introduce digital socialism",https://www.aljazeera.com/amp/indepth/opinion/fix-social-media-introduce-digital-socialism-200512163043881.html
Dhakshayini Sooriyakumaran,"Coronavirus pandemic,Privacy & Surveillance",Surveillance will not save us from COVID-19,https://www.aljazeera.com/amp/indepth/opinion/surveillance-save-covid-19-200520095528251.html
Marwan Bishara,"Israel,Palestine,Middle East",Palestine: The third way forward,https://www.aljazeera.com/amp/indepth/opinion/palestine-200518141158305.html
Morgan Godvin,"United States,Coronavirus pandemic,Military,War",The price of America's quest for an external enemy,https://www.aljazeera.com/amp/indepth/opinion/price-america-quest-external-enemy-200420194405578.html
"Sandra Wisner,Beatrice Lindstrom","Haiti,United Nations,Outbreak,Health,Latin America",COVID-19 brings renewed urgency to remedies for cholera in Haiti,https://www.aljazeera.com/amp/indepth/opinion/covid-19-brings-renewed-urgency-remedies-cholera-haiti-200521082808222.html
Iqbal Nasim,"Coronavirus pandemic,Islam,United Kingdom,Religion","Patience, sacrifice and zakat: An Islamic response to coronavirus",https://www.aljazeera.com/amp/indepth/opinion/patience-sacrifice-zakat-islamic-response-coronavirus-200414132512318.html
Li Zhang,"Coronavirus pandemic,Asia,China,US & Canada,Health","Coronavirus leaked from a lab? Blame capitalism, not China",https://www.aljazeera.com/amp/indepth/opinion/coronavirus-leaked-lab-blame-capitalism-china-200519133348487.html
Habib Battah,"Middle East,Lebanon",Who is to blame for Lebanon's crisis?,https://www.aljazeera.com/amp/indepth/opinion/blame-lebanon-crisis-200520161851075.html
Rafael Goldzweig,"Science & Technology,Social media",It is time tech companies act on election-time disinformation,https://www.aljazeera.com/amp/indepth/opinion/time-tech-companies-act-election-time-disinformation-200520135809708.html
Dr Jale Samuwai,"Coronavirus pandemic,Business & Economy,Environment,Climate Change,Global Warming",A moment of reckoning - when coronavirus meets climate change,https://www.aljazeera.com/amp/indepth/opinion/moment-reckoning-coronavirus-meets-climate-change-200423105300035.html
Filippo Grandi,"Coronavirus pandemic,Refugees",Why we must help - and learn from - refugees this Ramadan,https://www.aljazeera.com/amp/indepth/opinion/learn-refugees-ramadan-200515084942996.html
Anton Mardasov,"Syria's War,Russia,Middle East,Europe",Has Russia grown tired of Syria's Bashar al-Assad?,https://www.aljazeera.com/amp/indepth/opinion/rift-moscow-damascus-200517173011730.html
Abdul Basit,"Afghanistan,Coronavirus pandemic",Coronavirus can still be an opportunity for peace in Afghanistan,https://www.aljazeera.com/amp/indepth/opinion/coronavirus-opportunity-peace-afghanistan-200512103852960.html
Andrew Mitrovica,"Coronavirus pandemic,Canada,US & Canada",Canada's progressives are easily impressed,https://www.aljazeera.com/amp/indepth/opinion/ontario-doug-ford-impressed-progressives-200517092011013.html
Jonathan Lee,"Roma,Coronavirus pandemic,Europe",Police are using the COVID-19 pandemic as an excuse to abuse Roma,https://www.aljazeera.com/amp/indepth/opinion/police-covid-19-pandemic-excuse-abuse-roma-200511134616420.html
Meti Bekele Nega,"Health,Africa",Africa's population is aging and it needs social protection,https://www.aljazeera.com/amp/indepth/opinion/africa-population-aging-social-protection-200516101003773.html
Rokhaya Diallo,"France,Coronavirus pandemic,Islamophobia",Coronavirus exposed the real reasons behind France's 'burqa ban',https://www.aljazeera.com/amp/indepth/opinion/coronavirus-exposed-real-reasons-france-burqa-ban-200514105218122.html
Hamid Dabashi,"Coronavirus pandemic,United States,US & Canada",Coronavirus and the prospect of mass involuntary euthanasia,https://www.aljazeera.com/amp/indepth/opinion/coronavirus-prospect-mass-involuntary-euthanasia-200515122939558.html
Ahmed H Adam,"Africa,Sudan,Darfur,Middle East",Sudan needs a UN peacekeeping mission ,https://www.aljazeera.com/amp/indepth/opinion/sudan-peacekeeping-mission-200516150353191.html
Marwan Bishara,"Israel,Occupied West Bank,Palestine,United States,Middle East",A moment of truth for Israel-Palestine,https://www.aljazeera.com/amp/indepth/opinion/moment-truth-israel-palestine-200510131140446.html
Adnan Abu Amer,"Palestine,Gaza,Israel,Hamas,Middle East",Will there be a Hamas-Israel prisoner exchange? ,https://www.aljazeera.com/amp/indepth/opinion/hamas-israel-prisoner-exchange-200509114601546.html
Patrick Gathara,"Coronavirus pandemic,Africa,Racism,Media",Western media shows death only when it is in Africa,https://www.aljazeera.com/amp/indepth/opinion/western-media-shows-death-africa-200508111724194.html
Phyllis Bennis,"United States,Coronavirus pandemic,Iran,Venezuela",Sanctions in the era of pandemic,https://www.aljazeera.com/amp/indepth/opinion/sanctions-era-pandemic-200506091816791.html
Daniel Skinner,"Coronavirus pandemic,Health,United States",It may be time to nationalise US hospitals,https://www.aljazeera.com/amp/indepth/opinion/time-nationalise-hospitals-200421091917072.html
"Colombe Cahen Salvador,Andrea Venzon","Health,Coronavirus pandemic",We need to ensure priority vaccination for health workers,https://www.aljazeera.com/amp/indepth/opinion/ensure-priority-vaccination-health-workers-200512093031324.html
Yannick Giovanni Marshall,"United States,Racism,US & Canada",On Ahmaud Arbery and the video,https://www.aljazeera.com/amp/indepth/opinion/ahmaud-200510154619176.html
Marco Lambertini,"Coronavirus pandemic,Environment",The coronavirus is not good for nature,https://www.aljazeera.com/amp/indepth/opinion/coronavirus-good-nature-200508120555480.html
Richard Falk,"Israel,United States,Palestine,US & Canada,Middle East",Gangster geopolitics and Israel's annexation plans,https://www.aljazeera.com/amp/indepth/opinion/gangster-geopolitics-israel-annexation-plans-200511154825347.html
Ifeanyi M Nsofor,Coronavirus pandemic,"Remote work is good for business, and the world",https://www.aljazeera.com/amp/indepth/opinion/remote-work-good-business-world-200513095846875.html
Seyed Hossein Mousavian,"Iran,Coronavirus pandemic,United States,Middle East",Sanctions make Iran's coronavirus crisis more deadly,https://www.aljazeera.com/amp/indepth/opinion/sanctions-iran-coronavirus-crisis-deadly-200504143001019.html
Se-Woong Koo,"Asia,North Korea,South Korea,Kim Jong Un",Why the Western media keeps getting North Korea wrong,https://www.aljazeera.com/amp/indepth/opinion/western-media-north-korea-wrong-200505155134971.html
Yannick Giovanni Marshall,"Racism,Africa,US & Canada,Asia,China","Out of pandemic anti-Blackness, a case for pan-Africanism",https://www.aljazeera.com/amp/indepth/opinion/pandemic-anti-blackness-case-pan-africanism-200502160650489.html
Belen Fernandez,"United States,Coronavirus pandemic",The US was sick long before coronavirus,https://www.aljazeera.com/amp/indepth/opinion/sick-long-coronavirus-200505090657572.html
Jennifer Knight QC,"Women's Rights,United Kingdom,Human Rights,Europe",Why do so few rapes result in a conviction?,https://www.aljazeera.com/amp/indepth/opinion/rapes-result-conviction-200419120207336.html
Dr Youssef El Azouzi,"Coronavirus pandemic,Health,Tax,Business & Economy",Pandenomics - a new way to structure healthcare,https://www.aljazeera.com/amp/indepth/opinion/pandenomics-structure-healthcare-200420133015258.html
"Caleb Okereke,Kelsey Nielsen","Africa,Coronavirus pandemic,Rwanda,Senegal,Mauritius",The problem with predicting coronavirus apocalypse in Africa,https://www.aljazeera.com/amp/indepth/opinion/problem-predicting-coronavirus-apocalypse-africa-200505103847843.html
Leonid Ragozin,"Europe,Russia,History,World War",Victory Day and Russia's war cult,https://www.aljazeera.com/amp/indepth/opinion/victory-day-russia-war-cult-200506161923849.html
Majed Abusalama,"Intifada,Palestine,Middle East,Europe,Germany",My first lockdown was during the first Intifada,https://www.aljazeera.com/amp/indepth/opinion/lockdown-intifada-200503165513251.html
Harris Iqbal,"United Kingdom,Coronavirus pandemic,Islam","Amid the coronavirus, bailing out mosques is essential",https://www.aljazeera.com/amp/indepth/opinion/coronavirus-bailing-mosques-essential-200505124520195.html
"Maria Khristine Alvarez,Joshua Miguel Makalintal ","Philippines,Coronavirus pandemic,Asia",What 'relief' for the poor should really look like,https://www.aljazeera.com/amp/indepth/opinion/relief-poor-200420101846748.html
Abraham T Zere,"Eritrea,Coronavirus pandemic,Africa",Can Eritrea's government survive the coronavirus?,https://www.aljazeera.com/amp/indepth/opinion/eritrea-government-survive-coronavirus-200424113745581.html
Jesper Hojberg,"Press Freedom,Media,Europe,Middle East,Asia",There is no better time to invest in diverse independent media,https://www.aljazeera.com/amp/indepth/opinion/time-invest-diverse-independent-media-200502130815890.html
Cristina Tzintzun Ramirez,"Coronavirus pandemic,Business & Economy,United States",It is time to stop looking at the US economy from Wall Street,https://www.aljazeera.com/amp/indepth/opinion/time-stop-economy-wall-street-200428100706818.html
Tafi Mhaka,"Coronavirus pandemic,Africa",British-style lockdowns are not working in Africa,https://www.aljazeera.com/amp/indepth/opinion/british-style-lockdowns-working-africa-200501101858972.html
